ccaa,year,sexo,tasa_bruta_eso,tasa_bruta_bach,tasabrutaFP_basica,tasabrutaFP_Media,tasabrutaFP_superior,pct_analfabetos,pct_educacion_primaria,pct_educacion_superior,pct_primarios_incompletos,pct_primera_etapa_secundaria,pct_secundaria_profesional,pct_secundaria_general,PIB_per_capita
Canarias,2020,mujer,89.0,70.1,2.8,26.1,43.3,2.3,11.825,30.6,6.425,23.475,7.4,17.975,17239.0
Canarias,2021,hombre,77.8,50.7,5.3,22.0,30.8,1.8499999999999999,12.325,27.4,4.75,28.55,8.275,16.925,19021.0
Canarias,2021,mujer,85.6,67.1,2.3,23.6,40.5,1.825,11.6,31.775,6.675,22.95,7.65,17.549999999999997,19021.0
Canarias,2022,hombre,78.4,51.7,5.6,23.0,32.3,1.225,11.95,27.8,4.475,28.6,8.575,17.4,22238.0
Canarias,2022,mujer,86.0,69.0,2.0,25.2,41.3,1.7,11.3,32.15,5.3,23.8,7.85,17.9,22238.0
Cantabria,2014,hombre,77.3,52.9,5.1375,33.9,36.8,0.3,14.25,29.8,1.8,29.55,10.525,13.775,20747.0
Cantabria,2014,mujer,86.6,65.6,5.1375,35.5,39.0,0.4,19.725,29.85,3.325,23.45,9.225,14.0,20747.0
Cantabria,2015,hombre,83.4,56.8,5.5,36.1,33.5,0.5,12.775,30.375,1.475,31.875,9.8,13.225000000000001,21329.0
Cantabria,2015,mujer,89.2,69.1,2.2,34.7,36.2,0.425,18.75,29.75,2.975,25.875,9.125,13.025,21329.0
Cantabria,2016,hombre,75.5,51.3,5.9,32.8,31.5,0.275,12.4,30.4,1.275,31.675,10.2,13.775,22072.0
Cantabria,2016,mujer,82.7,66.3,2.3,29.0,33.6,0.475,18.4,31.424999999999997,1.85,25.825,9.575,12.475,22072.0
Cantabria,2017,hombre,75.1,54.0,6.0,25.9,36.1,0.45,11.875,31.6,1.15,30.65,11.1,13.175,22922.0
Cantabria,2017,mujer,88.6,67.9,2.9,28.9,38.2,0.55,17.175,31.55,2.0,25.1,10.725000000000001,12.925,22922.0
Cantabria,2018,hombre,79.4,51.1,5.3,29.5,35.1,0.325,11.875,30.125,0.8,29.625,11.3,15.95,23818.0
Cantabria,2018,mujer,88.3,63.5,3.3,30.4,41.7,0.55,17.525,32.875,1.35,23.775,10.275,13.65,23818.0
Cantabria,2019,hombre,83.2,55.0,7.0,27.3,29.9,0.275,10.075,31.4,0.7,31.625,10.725,15.175,24515.0
Cantabria,2019,mujer,91.4,75.4,3.0,26.4,36.4,0.35,16.15,32.95,1.275,25.35,10.2,13.75,24515.0
Cantabria,2020,hombre,85.4,52.0,7.1,32.7,39.6,0.425,8.525,32.925,0.8,32.825,11.875,12.6,22279.0
Cantabria,2020,mujer,89.4,68.2,2.5,31.9,43.1,0.3,12.85,34.175,1.3,28.5,10.0,12.875,22279.0
