ccaa,year,sexo,pct_analfabetos,pct_educacion_primaria,pct_educacion_superior,pct_primarios_incompletos,pct_primera_etapa_secundaria,pct_secundaria_profesional,pct_secundaria_general
Castilla - La Mancha,2022,hombre,1.2,11.775,23.425,6.35,35.75,8.075,13.475
Castilla - La Mancha,2022,mujer,1.675,12.35,26.700000000000003,8.225,30.15,7.625,13.299999999999999
Castilla - La Mancha,2023,hombre,1.025,11.55,25.05,5.825,36.175,7.6,12.775
Castilla - La Mancha,2023,mujer,1.55,11.725,26.925,8.25,30.225,8.325,12.975
Castilla - La Mancha,2024,hombre,1.025,11.075,24.65,4.925,37.575,7.675,13.0
Castilla - La Mancha,2024,mujer,1.25,11.0,28.275,7.4,30.85,8.649999999999999,12.6
Castilla - La Mancha,2025,hombre,0.8250000000000001,11.125,25.275,4.375,36.475,8.075,13.875
Castilla - La Mancha,2025,mujer,1.6,10.75,27.625,6.475,31.0,8.725,13.8
Castilla y Leon,2014,hombre,0.625,18.15,24.025,5.05,31.075,8.425,12.675
Castilla y Leon,2014,mujer,1.25,21.525,27.25,5.8,25.25,7.325,11.575
Castilla y Leon,2015,hombre,0.8,17.5,24.0,4.725,32.2,8.35,12.425
Castilla y Leon,2015,mujer,1.375,20.975,27.875,5.55,25.55,7.324999999999999,11.45
Castilla y Leon,2016,hombre,0.775,17.225,23.725,4.05,32.3,9.350000000000001,12.6
Castilla y Leon,2016,mujer,1.1,21.025,27.7,5.3,25.7,7.425,11.75
Castilla y Leon,2017,hombre,0.8500000000000001,16.225,24.775,3.75,32.35,9.475,12.575
Castilla y Leon,2017,mujer,0.925,19.450000000000003,28.3,4.875,26.95,7.425,12.125
Castilla y Leon,2018,hombre,0.7,15.9,25.325,3.275,32.675,9.35,12.725
Castilla y Leon,2018,mujer,0.9750000000000001,18.7,28.975,4.225,27.25,7.65,12.175
Castilla y Leon,2019,hombre,0.575,15.975000000000001,26.8,2.825,32.125,9.0,12.75
Castilla y Leon,2019,mujer,0.775,19.325,30.625,3.625,26.3,7.65,11.7
Castilla y Leon,2020,hombre,0.525,14.600000000000001,27.275,2.4749999999999996,32.55,9.275,13.3
Castilla y Leon,2020,mujer,0.775,18.599999999999998,31.0,3.35,26.325,7.775,12.225
Castilla y Leon,2021,hombre,0.5,13.95,27.25,2.1,33.525,9.575,13.05
Castilla y Leon,2021,mujer,0.625,17.025,32.25,2.95,26.15,8.925,12.05
Castilla y Leon,2022,hombre,0.6499999999999999,13.875,28.275,2.05,31.775,9.4,13.975
Castilla y Leon,2022,mujer,0.7,16.55,32.375,2.85,26.025,8.825,12.65
Castilla y Leon,2023,hombre,0.525,13.375,29.075,2.45,31.225,9.625,13.775
Castilla y Leon,2023,mujer,0.6749999999999999,16.35,32.85,3.2,25.075,8.875,12.95
Castilla y Leon,2024,hombre,0.55,12.075,29.5,2.4749999999999996,31.700000000000003,10.225,13.475
Castilla y Leon,2024,mujer,0.8250000000000001,14.7,33.9,3.2,25.925,8.725,12.700000000000001
Castilla y Leon,2025,hombre,0.5,11.925,29.675,1.85,31.625,10.35,14.025
Castilla y Leon,2025,mujer,0.75,14.7,33.85,2.575,25.475,8.775,13.85
Cataluña,2014,hombre,0.925,16.525,28.2,5.25,29.2,7.2,12.675
Cataluña,2014,mujer,2.1,18.775,29.275,7.275,24.775,6.375,11.45
Cataluña,2015,hombre,1.0,16.125,28.2,4.6,29.375,7.275,13.4
Cataluña,2015,mujer,2.35,17.85,30.1,6.675,24.85,7.15,11.05
Cataluña,2016,hombre,1.025,15.525,28.975,4.45,28.775,7.325,13.875
Cataluña,2016,mujer,1.975,17.1,31.174999999999997,6.6,24.0,7.1,12.05
Cataluña,2017,hombre,0.875,14.9,30.25,4.25,29.075000000000003,7.675,12.975
Cataluña,2017,mujer,1.8,16.7,31.4,6.275,24.6,6.825,12.45
Cataluña,2018,hombre,0.825,13.25,31.525000000000002,4.15,29.975,7.65,12.649999999999999
Cataluña,2018,mujer,1.725,15.75,32.375,6.1,23.875,7.6,12.55
