ccaa,year,sexo,tasa_bruta_eso
Extremadura,2000,hombre,55.9
Extremadura,2000,mujer,77.0
Extremadura,2001,hombre,54.8
Extremadura,2001,mujer,73.8
Extremadura,2002,hombre,57.8
Extremadura,2002,mujer,75.6
Extremadura,2003,hombre,57.6
Extremadura,2003,mujer,76.1
Extremadura,2004,hombre,57.1
Extremadura,2004,mujer,76.5
Extremadura,2005,hombre,57.5
Extremadura,2005,mujer,76.2
Extremadura,2006,hombre,58.7
Extremadura,2006,mujer,73.0
Extremadura,2007,hombre,60.2
Extremadura,2007,mujer,77.1
Extremadura,2008,hombre,64.9
Extremadura,2008,mujer,83.2
Extremadura,2009,hombre,67.3
Extremadura,2009,mujer,84.2
Extremadura,2010,hombre,67.3
Extremadura,2010,mujer,81.7
Extremadura,2011,hombre,72.2
Extremadura,2011,mujer,81.7
Extremadura,2012,hombre,69.7
Extremadura,2012,mujer,82.5
Extremadura,2013,hombre,71.9
Extremadura,2013,mujer,84.9
Extremadura,2014,hombre,71.8
Extremadura,2014,mujer,84.9
Extremadura,2015,hombre,73.3
Extremadura,2015,mujer,86.6
Extremadura,2016,hombre,68.7
Extremadura,2016,mujer,82.7
Extremadura,2017,hombre,72.9
Extremadura,2017,mujer,84.0
Extremadura,2018,hombre,75.1
Extremadura,2018,mujer,87.8
Extremadura,2019,hombre,82.9
Extremadura,2019,mujer,92.7
Extremadura,2020,hombre,78.1
Extremadura,2020,mujer,87.7
Extremadura,2021,hombre,77.6
Extremadura,2021,mujer,85.7
Extremadura,2022,hombre,77.3
Extremadura,2022,mujer,87.1
Galicia,1999,hombre,64.1
Galicia,1999,mujer,82.4
Galicia,2000,hombre,68.1
Galicia,2000,mujer,84.0
Galicia,2001,hombre,68.4
Galicia,2001,mujer,86.2
Galicia,2002,hombre,69.0
Galicia,2002,mujer,84.6
Galicia,2003,hombre,68.5
Galicia,2003,mujer,84.2
Galicia,2004,hombre,66.8
Galicia,2004,mujer,83.7
Galicia,2005,hombre,67.8
Galicia,2005,mujer,83.7
Galicia,2006,hombre,67.1
Galicia,2006,mujer,81.3
Galicia,2007,hombre,66.1
Galicia,2007,mujer,82.1
Galicia,2008,hombre,68.0
Galicia,2008,mujer,83.3
Galicia,2009,hombre,71.3
Galicia,2009,mujer,84.3
Galicia,2010,hombre,73.1
Galicia,2010,mujer,83.8
Galicia,2011,hombre,72.8
Galicia,2011,mujer,85.1
Galicia,2012,hombre,73.2
Galicia,2012,mujer,85.6
Galicia,2013,hombre,73.9
Galicia,2013,mujer,85.0
Galicia,2014,hombre,75.0
Galicia,2014,mujer,87.2
Galicia,2015,hombre,76.4
Galicia,2015,mujer,88.9
Galicia,2016,hombre,71.4
Galicia,2016,mujer,83.4
Galicia,2017,hombre,76.0
Galicia,2017,mujer,84.7
Galicia,2018,hombre,75.5
Galicia,2018,mujer,86.7
Galicia,2019,hombre,84.0
Galicia,2019,mujer,92.3
Galicia,2020,hombre,81.7
Galicia,2020,mujer,90.9
Galicia,2021,hombre,81.1
Galicia,2021,mujer,86.6
Galicia,2022,hombre,77.8
Galicia,2022,mujer,87.1
Islas Baleares,1999,hombre,57.3
Islas Baleares,1999,mujer,73.0
Islas Baleares,2000,hombre,57.9
Islas Baleares,2000,mujer,71.4
Islas Baleares,2001,hombre,62.8
Islas Baleares,2001,mujer,78.2
Islas Baleares,2002,hombre,60.0
Islas Baleares,2002,mujer,72.9
Islas Baleares,2003,hombre,58.5
Islas Baleares,2003,mujer,73.4
Islas Baleares,2004,hombre,59.3
Islas Baleares,2004,mujer,70.2
Islas Baleares,2005,hombre,57.6
Islas Baleares,2005,mujer,71.2
Islas Baleares,2006,hombre,52.4
Islas Baleares,2006,mujer,70.9
Islas Baleares,2007,hombre,56.0
Islas Baleares,2007,mujer,66.3
Islas Baleares,2008,hombre,56.9
Islas Baleares,2008,mujer,71.7
Islas Baleares,2009,hombre,62.8
Islas Baleares,2009,mujer,73.3
Islas Baleares,2010,hombre,61.7
Islas Baleares,2010,mujer,72.6
Islas Baleares,2011,hombre,61.5
Islas Baleares,2011,mujer,73.6
Islas Baleares,2012,hombre,59.4
Islas Baleares,2012,mujer,72.2
Islas Baleares,2013,hombre,64.2
Islas Baleares,2013,mujer,76.0
Islas Baleares,2014,hombre,62.7
Islas Baleares,2014,mujer,76.2
Islas Baleares,2015,hombre,65.0
Islas Baleares,2015,mujer,76.3
Islas Baleares,2016,hombre,65.3
Islas Baleares,2016,mujer,76.0
Islas Baleares,2017,hombre,62.9
Islas Baleares,2017,mujer,78.8
Islas Baleares,2018,hombre,69.9
Islas Baleares,2018,mujer,80.4
Islas Baleares,2019,hombre,76.3
Islas Baleares,2019,mujer,85.3
Islas Baleares,2020,hombre,77.6
Islas Baleares,2020,mujer,84.7
Islas Baleares,2021,hombre,71.9
Islas Baleares,2021,mujer,82.2
Islas Baleares,2022,hombre,73.6
Islas Baleares,2022,mujer,83.8
La Rioja,1999,hombre,65.0
La Rioja,1999,mujer,82.4
La Rioja,2000,hombre,66.1
La Rioja,2000,mujer,83.0
La Rioja,2001,hombre,64.2
La Rioja,2001,mujer,73.7
La Rioja,2002,hombre,67.1
La Rioja,2002,mujer,75.8
La Rioja,2003,hombre,62.2
La Rioja,2003,mujer,77.6
La Rioja,2004,hombre,61.1
La Rioja,2004,mujer,79.1
La Rioja,2005,hombre,62.6
La Rioja,2005,mujer,75.2
La Rioja,2006,hombre,59.3
La Rioja,2006,mujer,79.1
La Rioja,2007,hombre,58.3
La Rioja,2007,mujer,70.8
La Rioja,2008,hombre,63.4
La Rioja,2008,mujer,75.7
La Rioja,2009,hombre,61.1
La Rioja,2009,mujer,79.0
La Rioja,2010,hombre,64.4
La Rioja,2010,mujer,76.9
La Rioja,2011,hombre,69.6
La Rioja,2011,mujer,80.4
La Rioja,2012,hombre,62.2
La Rioja,2012,mujer,75.7
La Rioja,2013,hombre,68.6
La Rioja,2013,mujer,77.4
La Rioja,2014,hombre,70.6
La Rioja,2014,mujer,81.1
La Rioja,2015,hombre,70.5
La Rioja,2015,mujer,86.4
La Rioja,2016,hombre,62.0
La Rioja,2016,mujer,77.0
La Rioja,2017,hombre,69.4
La Rioja,2017,mujer,78.6
La Rioja,2018,hombre,69.8
La Rioja,2018,mujer,83.0
La Rioja,2019,hombre,74.1
La Rioja,2019,mujer,85.3
La Rioja,2020,hombre,74.3
La Rioja,2020,mujer,85.6
La Rioja,2021,hombre,75.5
La Rioja,2021,mujer,78.7
La Rioja,2022,hombre,70.0
La Rioja,2022,mujer,78.8
Madrid,1999,hombre,67.8
Madrid,1999,mujer,81.0
Madrid,2000,hombre,70.5
Madrid,2000,mujer,81.7
Madrid,2001,hombre,69.3
Madrid,2001,mujer,81.0
Madrid,2002,hombre,68.4
Madrid,2002,mujer,80.5
Madrid,2003,hombre,68.5
Madrid,2003,mujer,79.7
Madrid,2004,hombre,69.0
Madrid,2004,mujer,77.8
Madrid,2005,hombre,67.1
Madrid,2005,mujer,77.6
Madrid,2006,hombre,66.2
Madrid,2006,mujer,76.9
Madrid,2007,hombre,69.1
Madrid,2007,mujer,78.3
Madrid,2008,hombre,72.5
Madrid,2008,mujer,80.6
Madrid,2009,hombre,73.4
Madrid,2009,mujer,82.6
Madrid,2010,hombre,75.4
Madrid,2010,mujer,83.5
Madrid,2011,hombre,73.5
Madrid,2011,mujer,82.0
Madrid,2012,hombre,74.1
Madrid,2012,mujer,82.9
Madrid,2013,hombre,76.9
Madrid,2013,mujer,84.2
Madrid,2014,hombre,76.7
Madrid,2014,mujer,85.0
Madrid,2015,hombre,78.0
Madrid,2015,mujer,85.2
Madrid,2016,hombre,73.1
Madrid,2016,mujer,80.9
Madrid,2017,hombre,75.3
Madrid,2017,mujer,83.7
Madrid,2018,hombre,76.1
Madrid,2018,mujer,84.3
Madrid,2019,hombre,83.5
Madrid,2019,mujer,89.5
Madrid,2020,hombre,79.9
Madrid,2020,mujer,87.3
Madrid,2021,hombre,78.9
Madrid,2021,mujer,84.5
Madrid,2022,hombre,79.4
Madrid,2022,mujer,84.5
Melilla,1999,hombre,56.0
Melilla,1999,mujer,48.2
Melilla,2000,hombre,48.8
Melilla,2000,mujer,61.8
Melilla,2001,hombre,52.0
Melilla,2001,mujer,63.0
Melilla,2002,hombre,47.5
Melilla,2002,mujer,60.1
Melilla,2003,hombre,48.3
Melilla,2003,mujer,55.9
Melilla,2004,hombre,57.0
Melilla,2004,mujer,61.9
Melilla,2005,hombre,59.3
Melilla,2005,mujer,62.2
Melilla,2006,hombre,54.2
Melilla,2006,mujer,72.3
Melilla,2007,hombre,52.3
Melilla,2007,mujer,62.7
Melilla,2008,hombre,54.7
Melilla,2008,mujer,58.2
Melilla,2009,hombre,51.5
Melilla,2009,mujer,69.9
Melilla,2010,hombre,57.1
Melilla,2010,mujer,63.5
Melilla,2011,hombre,60.8
Melilla,2011,mujer,73.9
Melilla,2012,hombre,54.0
Melilla,2012,mujer,62.2
Melilla,2013,hombre,57.6
Melilla,2013,mujer,70.2
Melilla,2014,hombre,52.7
Melilla,2014,mujer,73.6
Melilla,2015,hombre,52.4
Melilla,2015,mujer,72.5
Melilla,2016,hombre,50.7
Melilla,2016,mujer,59.9
Melilla,2017,hombre,48.9
Melilla,2017,mujer,62.3
Melilla,2018,hombre,49.1
Melilla,2018,mujer,69.3
Melilla,2019,hombre,64.7
Melilla,2019,mujer,78.8
Melilla,2020,hombre,54.0
Melilla,2020,mujer,68.2
Melilla,2021,hombre,51.0
Melilla,2021,mujer,70.4
Melilla,2022,hombre,58.9
Melilla,2022,mujer,73.5
Murcia,1999,hombre,56.6
Murcia,1999,mujer,72.7
Murcia,2000,hombre,56.3
Murcia,2000,mujer,74.4
Murcia,2001,hombre,58.0
Murcia,2001,mujer,75.1
Murcia,2002,hombre,58.1
Murcia,2002,mujer,74.6
Murcia,2003,hombre,58.3
Murcia,2003,mujer,73.2
Murcia,2004,hombre,57.6
Murcia,2004,mujer,73.0
Murcia,2005,hombre,58.9
Murcia,2005,mujer,73.1
Murcia,2006,hombre,57.6
Murcia,2006,mujer,72.6
Murcia,2007,hombre,58.4
Murcia,2007,mujer,71.1
Murcia,2008,hombre,61.3
Murcia,2008,mujer,74.4
Murcia,2009,hombre,64.9
Murcia,2009,mujer,76.3
Murcia,2010,hombre,65.9
Murcia,2010,mujer,76.0
Murcia,2011,hombre,65.4
Murcia,2011,mujer,76.3
Murcia,2012,hombre,68.8
Murcia,2012,mujer,76.3
Murcia,2013,hombre,68.0
Murcia,2013,mujer,80.1
