ccaa,year,sexo,tasa_bruta_bach
Castilla y Leon,1995,hombre,41.0
Castilla y Leon,1995,mujer,56.6
Castilla y Leon,1996,hombre,41.3
Castilla y Leon,1996,mujer,60.5
Castilla y Leon,1997,hombre,42.8
Castilla y Leon,1997,mujer,61.8
Castilla y Leon,1998,hombre,44.1
Castilla y Leon,1998,mujer,60.7
Castilla y Leon,1999,hombre,44.7
Castilla y Leon,1999,mujer,63.3
Castilla y Leon,2000,hombre,43.4
Castilla y Leon,2000,mujer,63.8
Castilla y Leon,2001,hombre,43.7
Castilla y Leon,2001,mujer,62.5
Castilla y Leon,2002,hombre,44.0
Castilla y Leon,2002,mujer,64.2
Castilla y Leon,2003,hombre,42.3
Castilla y Leon,2003,mujer,62.3
Castilla y Leon,2004,hombre,43.3
Castilla y Leon,2004,mujer,62.4
Castilla y Leon,2005,hombre,43.7
Castilla y Leon,2005,mujer,63.5
Castilla y Leon,2006,hombre,43.5
Castilla y Leon,2006,mujer,61.1
Castilla y Leon,2007,hombre,43.5
Castilla y Leon,2007,mujer,60.3
Castilla y Leon,2008,hombre,42.8
Castilla y Leon,2008,mujer,62.4
Castilla y Leon,2009,hombre,43.2
Castilla y Leon,2009,mujer,58.4
Castilla y Leon,2010,hombre,47.6
Castilla y Leon,2010,mujer,64.2
Castilla y Leon,2011,hombre,50.6
Castilla y Leon,2011,mujer,65.3
Castilla y Leon,2012,hombre,52.0
Castilla y Leon,2012,mujer,64.7
Castilla y Leon,2013,hombre,51.9
Castilla y Leon,2013,mujer,66.9
Castilla y Leon,2014,hombre,52.5
Castilla y Leon,2014,mujer,67.8
Castilla y Leon,2015,hombre,56.5
Castilla y Leon,2015,mujer,71.9
Castilla y Leon,2016,hombre,53.5
Castilla y Leon,2016,mujer,68.3
Castilla y Leon,2017,hombre,52.4
Castilla y Leon,2017,mujer,69.4
Castilla y Leon,2018,hombre,52.5
Castilla y Leon,2018,mujer,67.4
Castilla y Leon,2019,hombre,60.3
Castilla y Leon,2019,mujer,75.3
Castilla y Leon,2020,hombre,53.5
Castilla y Leon,2020,mujer,68.8
Castilla y Leon,2021,hombre,50.2
Castilla y Leon,2021,mujer,66.6
Castilla y Leon,2022,hombre,49.4
Castilla y Leon,2022,mujer,63.9
Cataluña,1990,hombre,26.4
Cataluña,1990,mujer,36.1
Cataluña,1991,hombre,29.0
Cataluña,1991,mujer,37.1
Cataluña,1992,hombre,28.9
Cataluña,1992,mujer,36.9
Cataluña,1993,hombre,29.4
Cataluña,1993,mujer,39.5
Cataluña,1994,hombre,30.3
Cataluña,1994,mujer,40.3
Cataluña,1995,hombre,31.5
Cataluña,1995,mujer,41.8
Cataluña,1996,hombre,31.5
Cataluña,1996,mujer,41.9
Cataluña,1997,hombre,32.5
Cataluña,1997,mujer,46.4
Cataluña,1998,hombre,37.2
Cataluña,1998,mujer,51.6
