ccaa,sexo,nivel_formacion,year,pct_poblacion_nivel_formacion
Andalucia,hombre,"Segunda etapa de educación secundaria, con orientación general",2025,13.775
Andalucia,mujer,Analfabetos,2025,2.5
Andalucia,mujer,Educación primaria,2025,10.6
Andalucia,mujer,Educación superior,2025,31.125
Andalucia,mujer,Estudios primarios incompletos,2025,7.1
Andalucia,mujer,Primera etapa de Educación Secundaria y similar,2025,27.725
Andalucia,mujer,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2025,8.625
Andalucia,mujer,"Segunda etapa de educación secundaria, con orientación general",2025,12.3
Aragon,hombre,Analfabetos,2014,0.65
Aragon,hombre,Educación primaria,2014,18.85
Aragon,hombre,Educación superior,2014,26.825
Aragon,hombre,Estudios primarios incompletos,2014,4.75
Aragon,hombre,Primera etapa de Educación Secundaria y similar,2014,26.225
Aragon,hombre,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2014,8.75
Aragon,hombre,"Segunda etapa de educación secundaria, con orientación general",2014,13.95
Aragon,mujer,Analfabetos,2014,1.05
Aragon,mujer,Educación primaria,2014,22.15
Aragon,mujer,Educación superior,2014,28.2
Aragon,mujer,Estudios primarios incompletos,2014,6.25
Aragon,mujer,Primera etapa de Educación Secundaria y similar,2014,21.375
Aragon,mujer,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2014,8.6
Aragon,mujer,"Segunda etapa de educación secundaria, con orientación general",2014,12.424999999999999
Aragon,hombre,Analfabetos,2015,0.925
Aragon,hombre,Educación primaria,2015,17.1
Aragon,hombre,Educación superior,2015,27.0
Aragon,hombre,Estudios primarios incompletos,2015,4.875
Aragon,hombre,Primera etapa de Educación Secundaria y similar,2015,27.275
Aragon,hombre,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2015,8.925
Aragon,hombre,"Segunda etapa de educación secundaria, con orientación general",2015,13.975
Aragon,mujer,Analfabetos,2015,0.875
Aragon,mujer,Educación primaria,2015,20.3
Aragon,mujer,Educación superior,2015,27.95
Aragon,mujer,Estudios primarios incompletos,2015,5.625
Aragon,mujer,Primera etapa de Educación Secundaria y similar,2015,23.85
Aragon,mujer,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),2015,8.475
Aragon,mujer,"Segunda etapa de educación secundaria, con orientación general",2015,12.875
