Comunidad autónoma	Sexo	periodo	Total
Murcia, Región de	MUJERES	2021-22	4,8
Murcia, Región de	MUJERES	2020-21	5,9
Murcia, Región de	MUJERES	2019-20	5,5
Murcia, Región de	MUJERES	2018-19	4,6
Murcia, Región de	MUJERES	2017-18	4,2
Murcia, Región de	MUJERES	2016-17	3,4
Navarra, Comunidad Foral de	HOMBRES	2021-22	6,3
Navarra, Comunidad Foral de	HOMBRES	2020-21	8,3
Navarra, Comunidad Foral de	HOMBRES	2019-20	7,5
Navarra, Comunidad Foral de	HOMBRES	2018-19	6,3
Navarra, Comunidad Foral de	HOMBRES	2017-18	6,6
Navarra, Comunidad Foral de	HOMBRES	2016-17	5,6
Navarra, Comunidad Foral de	MUJERES	2021-22	2,9
Navarra, Comunidad Foral de	MUJERES	2020-21	3,6
Navarra, Comunidad Foral de	MUJERES	2019-20	3,6
Navarra, Comunidad Foral de	MUJERES	2018-19	3,0
Navarra, Comunidad Foral de	MUJERES	2017-18	2,6
Navarra, Comunidad Foral de	MUJERES	2016-17	2,0
País Vasco	HOMBRES	2021-22	8,8
País Vasco	HOMBRES	2020-21	10,7
País Vasco	HOMBRES	2019-20	8,8
País Vasco	HOMBRES	2018-19	10,0
País Vasco	HOMBRES	2017-18	10,4
País Vasco	HOMBRES	2016-17	10,2
País Vasco	MUJERES	2021-22	3,6
País Vasco	MUJERES	2020-21	4,3
País Vasco	MUJERES	2019-20	4,2
País Vasco	MUJERES	2018-19	4,1
País Vasco	MUJERES	2017-18	4,8
País Vasco	MUJERES	2016-17	4,3
Rioja, La	HOMBRES	2021-22	10,4
Rioja, La	HOMBRES	2020-21	12,3
Rioja, La	HOMBRES	2019-20	13,9
Rioja, La	HOMBRES	2018-19	13,7
Rioja, La	HOMBRES	2017-18	11,5
Rioja, La	HOMBRES	2016-17	9,7
Rioja, La	MUJERES	2021-22	4,9
Rioja, La	MUJERES	2020-21	9,0
Rioja, La	MUJERES	2019-20	7,1
Rioja, La	MUJERES	2018-19	7,6
Rioja, La	MUJERES	2017-18	6,5
Rioja, La	MUJERES	2016-17	5,3
Ceuta	HOMBRES	2021-22	13,2
Ceuta	HOMBRES	2020-21	5,0
Ceuta	HOMBRES	2019-20	9,3
Ceuta	HOMBRES	2018-19	7,6
Ceuta	HOMBRES	2017-18	5,0
Ceuta	HOMBRES	2016-17	7,1
Ceuta	MUJERES	2021-22	7,1
Ceuta	MUJERES	2020-21	2,3
Ceuta	MUJERES	2019-20	7,6
Ceuta	MUJERES	2018-19	3,3
Ceuta	MUJERES	2017-18	5,2
Ceuta	MUJERES	2016-17	5,3
Melilla	HOMBRES	2021-22	12,1
Melilla	HOMBRES	2020-21	8,3
Melilla	HOMBRES	2019-20	9,5
Melilla	HOMBRES	2018-19	7,4
Melilla	HOMBRES	2017-18	9,5
Melilla	HOMBRES	2016-17	6,0
Melilla	MUJERES	2021-22	5,5
Melilla	MUJERES	2020-21	6,6
Melilla	MUJERES	2019-20	3,5
Melilla	MUJERES	2018-19	3,1
Melilla	MUJERES	2017-18	4,7
Melilla	MUJERES	2016-17	4,2
