Comunidad autónoma	Sexo	periodo	Total
Navarra, Comunidad Foral de	HOMBRES	2021-22	80,2
Navarra, Comunidad Foral de	HOMBRES	2020-21	82,0
Navarra, Comunidad Foral de	HOMBRES	2019-20	85,5
Navarra, Comunidad Foral de	HOMBRES	2018-19	78,5
Navarra, Comunidad Foral de	HOMBRES	2017-18	79,3
Navarra, Comunidad Foral de	HOMBRES	2016-17	79,1
Navarra, Comunidad Foral de	MUJERES	2021-22	86,9
Navarra, Comunidad Foral de	MUJERES	2020-21	87,4
Navarra, Comunidad Foral de	MUJERES	2019-20	84,5
Navarra, Comunidad Foral de	MUJERES	2018-19	90,8
Navarra, Comunidad Foral de	MUJERES	2017-18	86,7
Navarra, Comunidad Foral de	MUJERES	2016-17	86,5
País Vasco	HOMBRES	2021-22	83,1
País Vasco	HOMBRES	2020-21	86,8
País Vasco	HOMBRES	2019-20	87,1
País Vasco	HOMBRES	2018-19	83,1
País Vasco	HOMBRES	2017-18	81,3
País Vasco	HOMBRES	2016-17	82,5
País Vasco	MUJERES	2021-22	90,0
País Vasco	MUJERES	2020-21	92,1
País Vasco	MUJERES	2019-20	87,9
País Vasco	MUJERES	2018-19	89,8
País Vasco	MUJERES	2017-18	91,1
País Vasco	MUJERES	2016-17	90,0
Rioja, La	HOMBRES	2021-22	74,8
Rioja, La	HOMBRES	2020-21	73,9
Rioja, La	HOMBRES	2019-20	75,4
Rioja, La	HOMBRES	2018-19	69,2
Rioja, La	HOMBRES	2017-18	69,3
Rioja, La	HOMBRES	2016-17	61,9
Rioja, La	MUJERES	2021-22	77,7
Rioja, La	MUJERES	2020-21	86,1
Rioja, La	MUJERES	2019-20	84,1
Rioja, La	MUJERES	2018-19	84,5
Rioja, La	MUJERES	2017-18	78,9
Rioja, La	MUJERES	2016-17	77,0
Ceuta	HOMBRES	2021-22	49,3
Ceuta	HOMBRES	2020-21	60,8
Ceuta	HOMBRES	2019-20	69,2
Ceuta	HOMBRES	2018-19	48,6
Ceuta	HOMBRES	2017-18	48,3
Ceuta	HOMBRES	2016-17	47,6
Ceuta	MUJERES	2021-22	70,6
Ceuta	MUJERES	2020-21	69,2
Ceuta	MUJERES	2019-20	73,1
Ceuta	MUJERES	2018-19	58,9
Ceuta	MUJERES	2017-18	62,6
Ceuta	MUJERES	2016-17	64,6
Melilla	HOMBRES	2021-22	52,3
Melilla	HOMBRES	2020-21	52,3
