Comunidades y Ciudades Autónomas	Sexo	Nivel de formación alcanzado	Periodo	Total
01 Andalucía	Hombres	Primera etapa de Educación Secundaria y similar	2024T2	33,2
01 Andalucía	Hombres	Primera etapa de Educación Secundaria y similar	2024T1	33,4
01 Andalucía	Hombres	Primera etapa de Educación Secundaria y similar	2023T4	33,1
01 Andalucía	Hombres	Primera etapa de Educación Secundaria y similar	2023T3	32,7
01 Andalucía	Hombres	Primera etapa de Educación Secundaria y similar	2023T2	33,3
01 Andalucía	Hombres	Primera etapa de Educación Secundaria y similar	2023T1	33,5
01 Andalucía	Hombres	Primera etapa de Educación Secundaria y similar	2022T4	33,8
01 Andalucía	Hombres	Primera etapa de Educación Secundaria y similar	2022T3	33,6
01 Andalucía	Hombres	Primera etapa de Educación Secundaria y similar	2022T2	33,7
01 Andalucía	Hombres	Primera etapa de Educación Secundaria y similar	2022T1	33,8
01 Andalucía	Hombres	Primera etapa de Educación Secundaria y similar	2021T4	33,9
01 Andalucía	Hombres	Primera etapa de Educación Secundaria y similar	2021T3	33,5
01 Andalucía	Hombres	Primera etapa de Educación Secundaria y similar	2021T2	34,3
01 Andalucía	Hombres	Primera etapa de Educación Secundaria y similar	2021T1	34,2
01 Andalucía	Hombres	Primera etapa de Educación Secundaria y similar	2020T4	34,1
01 Andalucía	Hombres	Primera etapa de Educación Secundaria y similar	2020T3	34,0
01 Andalucía	Hombres	Primera etapa de Educación Secundaria y similar	2020T2	34,1
01 Andalucía	Hombres	Primera etapa de Educación Secundaria y similar	2020T1	34,5
01 Andalucía	Hombres	Primera etapa de Educación Secundaria y similar	2019T4	33,9
01 Andalucía	Hombres	Primera etapa de Educación Secundaria y similar	2019T3	34,0
01 Andalucía	Hombres	Primera etapa de Educación Secundaria y similar	2019T2	33,8
01 Andalucía	Hombres	Primera etapa de Educación Secundaria y similar	2019T1	33,3
01 Andalucía	Hombres	Primera etapa de Educación Secundaria y similar	2018T4	33,1
01 Andalucía	Hombres	Primera etapa de Educación Secundaria y similar	2018T3	32,9
01 Andalucía	Hombres	Primera etapa de Educación Secundaria y similar	2018T2	33,5
01 Andalucía	Hombres	Primera etapa de Educación Secundaria y similar	2018T1	34,1
01 Andalucía	Hombres	Primera etapa de Educación Secundaria y similar	2017T4	34,1
01 Andalucía	Hombres	Primera etapa de Educación Secundaria y similar	2017T3	33,9
01 Andalucía	Hombres	Primera etapa de Educación Secundaria y similar	2017T2	34,9
01 Andalucía	Hombres	Primera etapa de Educación Secundaria y similar	2017T1	34,9
01 Andalucía	Hombres	Primera etapa de Educación Secundaria y similar	2016T4	34,8
01 Andalucía	Hombres	Primera etapa de Educación Secundaria y similar	2016T3	34,3
01 Andalucía	Hombres	Primera etapa de Educación Secundaria y similar	2016T2	33,8
01 Andalucía	Hombres	Primera etapa de Educación Secundaria y similar	2016T1	34,1
01 Andalucía	Hombres	Primera etapa de Educación Secundaria y similar	2015T4	33,5
01 Andalucía	Hombres	Primera etapa de Educación Secundaria y similar	2015T3	33,6
01 Andalucía	Hombres	Primera etapa de Educación Secundaria y similar	2015T2	33,6
01 Andalucía	Hombres	Primera etapa de Educación Secundaria y similar	2015T1	33,9
01 Andalucía	Hombres	Primera etapa de Educación Secundaria y similar	2014T4	33,5
01 Andalucía	Hombres	Primera etapa de Educación Secundaria y similar	2014T3	33,6
01 Andalucía	Hombres	Primera etapa de Educación Secundaria y similar	2014T2	33,8
01 Andalucía	Hombres	Primera etapa de Educación Secundaria y similar	2014T1	33,7
01 Andalucía	Hombres	Segunda etapa de educación secundaria, con orientación general	2025T4	14,3
01 Andalucía	Hombres	Segunda etapa de educación secundaria, con orientación general	2025T3	13,9
01 Andalucía	Hombres	Segunda etapa de educación secundaria, con orientación general	2025T2	13,5
01 Andalucía	Hombres	Segunda etapa de educación secundaria, con orientación general	2025T1	13,4
01 Andalucía	Hombres	Segunda etapa de educación secundaria, con orientación general	2024T4	13,6
01 Andalucía	Hombres	Segunda etapa de educación secundaria, con orientación general	2024T3	13,5
01 Andalucía	Hombres	Segunda etapa de educación secundaria, con orientación general	2024T2	13,4
01 Andalucía	Hombres	Segunda etapa de educación secundaria, con orientación general	2024T1	13,5
01 Andalucía	Hombres	Segunda etapa de educación secundaria, con orientación general	2023T4	13,3
01 Andalucía	Hombres	Segunda etapa de educación secundaria, con orientación general	2023T3	13,6
01 Andalucía	Hombres	Segunda etapa de educación secundaria, con orientación general	2023T2	13,1
01 Andalucía	Hombres	Segunda etapa de educación secundaria, con orientación general	2023T1	13,7
01 Andalucía	Hombres	Segunda etapa de educación secundaria, con orientación general	2022T4	13,6
01 Andalucía	Hombres	Segunda etapa de educación secundaria, con orientación general	2022T3	13,4
01 Andalucía	Hombres	Segunda etapa de educación secundaria, con orientación general	2022T2	13,3
01 Andalucía	Hombres	Segunda etapa de educación secundaria, con orientación general	2022T1	13,0
01 Andalucía	Hombres	Segunda etapa de educación secundaria, con orientación general	2021T4	13,3
01 Andalucía	Hombres	Segunda etapa de educación secundaria, con orientación general	2021T3	12,6
01 Andalucía	Hombres	Segunda etapa de educación secundaria, con orientación general	2021T2	12,2
01 Andalucía	Hombres	Segunda etapa de educación secundaria, con orientación general	2021T1	12,3
01 Andalucía	Hombres	Segunda etapa de educación secundaria, con orientación general	2020T4	12,5
01 Andalucía	Hombres	Segunda etapa de educación secundaria, con orientación general	2020T3	13,0
01 Andalucía	Hombres	Segunda etapa de educación secundaria, con orientación general	2020T2	12,1
01 Andalucía	Hombres	Segunda etapa de educación secundaria, con orientación general	2020T1	11,8
01 Andalucía	Hombres	Segunda etapa de educación secundaria, con orientación general	2019T4	12,6
01 Andalucía	Hombres	Segunda etapa de educación secundaria, con orientación general	2019T3	12,5
01 Andalucía	Hombres	Segunda etapa de educación secundaria, con orientación general	2019T2	12,7
01 Andalucía	Hombres	Segunda etapa de educación secundaria, con orientación general	2019T1	13,0
01 Andalucía	Hombres	Segunda etapa de educación secundaria, con orientación general	2018T4	13,2
01 Andalucía	Hombres	Segunda etapa de educación secundaria, con orientación general	2018T3	13,0
01 Andalucía	Hombres	Segunda etapa de educación secundaria, con orientación general	2018T2	12,4
01 Andalucía	Hombres	Segunda etapa de educación secundaria, con orientación general	2018T1	12,4
01 Andalucía	Hombres	Segunda etapa de educación secundaria, con orientación general	2017T4	12,3
01 Andalucía	Hombres	Segunda etapa de educación secundaria, con orientación general	2017T3	12,7
01 Andalucía	Hombres	Segunda etapa de educación secundaria, con orientación general	2017T2	12,2
01 Andalucía	Hombres	Segunda etapa de educación secundaria, con orientación general	2017T1	12,2
01 Andalucía	Hombres	Segunda etapa de educación secundaria, con orientación general	2016T4	12,2
01 Andalucía	Hombres	Segunda etapa de educación secundaria, con orientación general	2016T3	12,4
01 Andalucía	Hombres	Segunda etapa de educación secundaria, con orientación general	2016T2	12,6
01 Andalucía	Hombres	Segunda etapa de educación secundaria, con orientación general	2016T1	12,3
01 Andalucía	Hombres	Segunda etapa de educación secundaria, con orientación general	2015T4	12,7
01 Andalucía	Hombres	Segunda etapa de educación secundaria, con orientación general	2015T3	12,7
01 Andalucía	Hombres	Segunda etapa de educación secundaria, con orientación general	2015T2	12,3
01 Andalucía	Hombres	Segunda etapa de educación secundaria, con orientación general	2015T1	11,9
01 Andalucía	Hombres	Segunda etapa de educación secundaria, con orientación general	2014T4	11,6
01 Andalucía	Hombres	Segunda etapa de educación secundaria, con orientación general	2014T3	12,0
01 Andalucía	Hombres	Segunda etapa de educación secundaria, con orientación general	2014T2	11,9
01 Andalucía	Hombres	Segunda etapa de educación secundaria, con orientación general	2014T1	12,0
01 Andalucía	Hombres	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2025T4	8,2
01 Andalucía	Hombres	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2025T3	8,5
01 Andalucía	Hombres	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2025T2	8,8
01 Andalucía	Hombres	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2025T1	8,7
01 Andalucía	Hombres	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2024T4	9,0
01 Andalucía	Hombres	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2024T3	9,2
01 Andalucía	Hombres	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2024T2	9,0
01 Andalucía	Hombres	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2024T1	8,9
01 Andalucía	Hombres	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2023T4	8,5
01 Andalucía	Hombres	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2023T3	8,8
01 Andalucía	Hombres	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2023T2	8,4
01 Andalucía	Hombres	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2023T1	8,1
01 Andalucía	Hombres	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2022T4	8,0
